Article,IN,OUT,PU,CASH,Quantite,PrixUnitaireAchat,PrixTotalAchat
"AQUAVIE 20L",0,180,4750,855000,815,4750,3871250
"AQUAVIE CITRON",0,471,9500,4474500,1483,9500,14088500
"AQUAVIE LEMON",0,191,9400,1795400,798,9400,7501200
"AQUAVIE ENERGIE",0,2,9000,18000,177,9000,1593000
"AQUAVIE COLA",0,17,9400,159800,93,9400,874200
"AQUAVIE MALT",0,90,9500,855000,388,9500,3686000
"AQUAVIE 5L",0,4,2000,8000,224,2000,448000
"BOOM GD TROPICAL",0,130,5200,676000,280,5200,1456000
"AQUAVIE ORANGE",0,54,9500,513000,291,9500,2764500
"BOOM GD ORANGE",0,10,5200,52000,292,5200,1518400
"AQUAVIE GAZ PT 12PC",0,32,9000,288000,307,9000,2763000
"BOOM GD MANGO",0,140,5200,728000,300,5200,1560000
"AQUAVIE 0.5L",0,58,2500,145000,1074,2500,2685000
"AQUAVIE 1.5L",0,1,3300,3300,501,3300,1653300
"AQUAVIE 10L",0,29,3500,101500,224,3500,784000
