Article,IN,OUT,PU,CASH,Quantite,PrixUnitaireAchat,PrixTotalAchat
"AQUAVIE 20L",338,13,3779.98,49139.74,815,4750,3871250
"AQUAVIE CITRON",800,24,7706.21,184949.04,1483,9500,14088500
"AQUAVIE LEMON",0,3,9400,28200,798,9400,7501200
"AQUAVIE MALT",300,37,7706.21,285129.77,388,9500,3686000
"BOOM GD TROPICAL",300,30,4136.4,124092,280,5200,1456000
"AQUAVIE ORANGE",0,2,9500,19000,291,9500,2764500
"BOOM GD ORANGE",0,10,5200,52000,292,5200,1518400
"AQUAVIE GAZ PT 12PC",300,50,7150.5,357525,307,9000,2763000
"BOOM GD MANGO",300,26,4136.4,107546.4,300,5200,1560000
"AQUAVIE 0.5L",500,-0,1987.2,-0,1074,2500,2685000
"AQUAVIE 1.5L",500,-0,2605.71,-0,501,3300,1653300
"AQUAVIE 10L",200,55,3500,192500,224,3500,784000
